id,intent_id,domain,profile_id,stress_id,profile_mode,flag,synthetic,base_story,user_story,given,when,scope_supported,decision_reason,expected_action,output_type,then,ui_requirement,failure_to_avoid,acceptance,evidence_status
LC-00011,cu_tru-01,cu_tru,P02,S01,low_literacy,clean,True,"Là người ít quen thao tác số, tôi muốn nhận diện việc cần hỏi khi mới thuê trọ, để không nhầm nhu cầu với thủ tục khác.","Là người ít quen thao tác số, tôi muốn nhận diện việc cần hỏi khi mới thuê trọ, để không nhầm nhu cầu với thủ tục khác. Bối cảnh hiện tại: thông tin tối thiểu đã rõ, nguồn và đầu mối trong mô hình đã được duyệt.","thông tin tối thiểu đã rõ, nguồn và đầu mối trong mô hình đã được duyệt",Người dùng bắt đầu hoặc tiếp tục nhu cầu trên LC Compass.,True,"Nhu cầu trong phạm vi, điều kiện mô hình đã rõ và nội dung mô hình đã duyệt.",PREPARE,SERVICE,"Tạo phiếu chuẩn bị theo nhánh đã duyệt; thể hiện điều đã biết, điều cần hỏi, nguồn và bước tiếp theo.","câu ngắn, lựa chọn rõ, luôn có nút nhờ hỗ trợ",không biến phiếu chuẩn bị thành kết luận đủ điều kiện,"Thực hiện PREPARE; câu ngắn, lựa chọn rõ, luôn có nút nhờ hỗ trợ; không biến phiếu chuẩn bị thành kết luận đủ điều kiện.",Giả định cho thiết kế; chưa kiểm tra trên người thật hoặc AI thật.
LC-00012,cu_tru-01,cu_tru,P02,S02,low_literacy,unknown_area,True,"Là người ít quen thao tác số, tôi muốn nhận diện việc cần hỏi khi mới thuê trọ, để không nhầm nhu cầu với thủ tục khác.","Là người ít quen thao tác số, tôi muốn nhận diện việc cần hỏi khi mới thuê trọ, để không nhầm nhu cầu với thủ tục khác. Bối cảnh hiện tại: chỉ biết tên quận cũ, chưa xác định phường hiện tại.","chỉ biết tên quận cũ, chưa xác định phường hiện tại",Người dùng bắt đầu hoặc tiếp tục nhu cầu trên LC Compass.,True,Chưa xác định địa bàn thì không áp nội dung địa phương.,ASK_AREA,SERVICE,Hỏi lại phường hiện tại hoặc hỗ trợ xác minh địa bàn; chưa xuất checklist địa phương.,"câu ngắn, lựa chọn rõ, luôn có nút nhờ hỗ trợ",không đoán địa giới từ tên đường hoặc tên quận cũ,"Thực hiện ASK_AREA; câu ngắn, lựa chọn rõ, luôn có nút nhờ hỗ trợ; không đoán địa giới từ tên đường hoặc tên quận cũ.",Giả định cho thiết kế; chưa kiểm tra trên người thật hoặc AI thật.
LC-00013,cu_tru-01,cu_tru,P02,S03,low_literacy,outside,True,"Là người ít quen thao tác số, tôi muốn nhận diện việc cần hỏi khi mới thuê trọ, để không nhầm nhu cầu với thủ tục khác.","Là người ít quen thao tác số, tôi muốn nhận diện việc cần hỏi khi mới thuê trọ, để không nhầm nhu cầu với thủ tục khác. Bối cảnh hiện tại: xác nhận việc cần giải quyết ở ngoài phường Liên Chiểu.",xác nhận việc cần giải quyết ở ngoài phường Liên Chiểu,Người dùng bắt đầu hoặc tiếp tục nhu cầu trên LC Compass.,True,Phạm vi hướng dẫn phụ thuộc địa bàn được xác nhận.,OUTSIDE,SERVICE,Thông báo ngoài địa bàn; mở danh mục chính thức để người dùng chọn nơi phù hợp.,"câu ngắn, lựa chọn rõ, luôn có nút nhờ hỗ trợ",không áp hướng dẫn địa phương sang nơi khác,"Thực hiện OUTSIDE; câu ngắn, lựa chọn rõ, luôn có nút nhờ hỗ trợ; không áp hướng dẫn địa phương sang nơi khác.",Giả định cho thiết kế; chưa kiểm tra trên người thật hoặc AI thật.
LC-00014,cu_tru-01,cu_tru,P02,S04,low_literacy,stale,True,"Là người ít quen thao tác số, tôi muốn nhận diện việc cần hỏi khi mới thuê trọ, để không nhầm nhu cầu với thủ tục khác.","Là người ít quen thao tác số, tôi muốn nhận diện việc cần hỏi khi mới thuê trọ, để không nhầm nhu cầu với thủ tục khác. Bối cảnh hiện tại: nguồn hướng dẫn đã quá ngày rà soát quy định trong bộ dữ liệu.",nguồn hướng dẫn đã quá ngày rà soát quy định trong bộ dữ liệu,Người dùng bắt đầu hoặc tiếp tục nhu cầu trên LC Compass.,True,Nguồn không đạt điều kiện phát hành hướng dẫn chi tiết.,REVIEW_SOURCE,SERVICE,Tạm ngừng chi tiết bị ảnh hưởng; hiển thị nhu cầu cần xác minh và đầu mối đã xác nhận nếu có.,"câu ngắn, lựa chọn rõ, luôn có nút nhờ hỗ trợ",không trình bày dữ liệu cũ như đang còn hiệu lực,"Thực hiện REVIEW_SOURCE; câu ngắn, lựa chọn rõ, luôn có nút nhờ hỗ trợ; không trình bày dữ liệu cũ như đang còn hiệu lực.",Giả định cho thiết kế; chưa kiểm tra trên người thật hoặc AI thật.
LC-00015,cu_tru-01,cu_tru,P02,S05,low_literacy,conflict,True,"Là người ít quen thao tác số, tôi muốn nhận diện việc cần hỏi khi mới thuê trọ, để không nhầm nhu cầu với thủ tục khác.","Là người ít quen thao tác số, tôi muốn nhận diện việc cần hỏi khi mới thuê trọ, để không nhầm nhu cầu với thủ tục khác. Bối cảnh hiện tại: hai nguồn chính thức đưa thông tin khác nhau.",hai nguồn chính thức đưa thông tin khác nhau,Người dùng bắt đầu hoặc tiếp tục nhu cầu trên LC Compass.,True,Nguồn không đạt điều kiện phát hành hướng dẫn chi tiết.,REVIEW_SOURCE,SERVICE,Tạm ngừng chi tiết bị ảnh hưởng; hiển thị nhu cầu cần xác minh và đầu mối đã xác nhận nếu có.,"câu ngắn, lựa chọn rõ, luôn có nút nhờ hỗ trợ",không tự chọn nguồn thuận tiện hoặc ghép hai phiên bản,"Thực hiện REVIEW_SOURCE; câu ngắn, lựa chọn rõ, luôn có nút nhờ hỗ trợ; không tự chọn nguồn thuận tiện hoặc ghép hai phiên bản.",Giả định cho thiết kế; chưa kiểm tra trên người thật hoặc AI thật.
LC-00016,cu_tru-01,cu_tru,P02,S06,low_literacy,missing_fact,True,"Là người ít quen thao tác số, tôi muốn nhận diện việc cần hỏi khi mới thuê trọ, để không nhầm nhu cầu với thủ tục khác.","Là người ít quen thao tác số, tôi muốn nhận diện việc cần hỏi khi mới thuê trọ, để không nhầm nhu cầu với thủ tục khác. Bối cảnh hiện tại: người dùng chưa biết một điều kiện quyết định nhánh.",người dùng chưa biết một điều kiện quyết định nhánh,Người dùng bắt đầu hoặc tiếp tục nhu cầu trên LC Compass.,True,Thiếu thông tin để chọn nhánh; cần làm rõ trước.,ASK_FACT,SERVICE,"Hỏi một điều kiện còn thiếu bằng lựa chọn có phương án không biết; nếu vẫn thiếu, lập phiếu câu hỏi.","câu ngắn, lựa chọn rõ, luôn có nút nhờ hỗ trợ",cho phép không biết; không tự điền điều kiện,"Thực hiện ASK_FACT; câu ngắn, lựa chọn rõ, luôn có nút nhờ hỗ trợ; cho phép không biết; không tự điền điều kiện.",Giả định cho thiết kế; chưa kiểm tra trên người thật hoặc AI thật.
LC-00017,cu_tru-01,cu_tru,P02,S07,low_literacy,sensitive,True,"Là người ít quen thao tác số, tôi muốn nhận diện việc cần hỏi khi mới thuê trọ, để không nhầm nhu cầu với thủ tục khác.","Là người ít quen thao tác số, tôi muốn nhận diện việc cần hỏi khi mới thuê trọ, để không nhầm nhu cầu với thủ tục khác. Bối cảnh hiện tại: người dùng định dán ảnh căn cước hoặc mã đăng nhập vào ô hỏi.",người dùng định dán ảnh căn cước hoặc mã đăng nhập vào ô hỏi,Người dùng bắt đầu hoặc tiếp tục nhu cầu trên LC Compass.,True,Đầu vào nhạy cảm không cần thiết cho nhiệm vụ chuẩn bị.,REMOVE_SENSITIVE,SERVICE,"Không nhận ảnh giấy tờ, mật khẩu, OTP; bỏ nội dung nhạy cảm và tiếp tục bằng thông tin phân loại.","câu ngắn, lựa chọn rõ, luôn có nút nhờ hỗ trợ",chặn đầu vào nhạy cảm trước khi gửi ra dịch vụ ngoài,"Thực hiện REMOVE_SENSITIVE; câu ngắn, lựa chọn rõ, luôn có nút nhờ hỗ trợ; chặn đầu vào nhạy cảm trước khi gửi ra dịch vụ ngoài.",Giả định cho thiết kế; chưa kiểm tra trên người thật hoặc AI thật.
LC-00018,cu_tru-01,cu_tru,P02,S08,low_literacy,offline,True,"Là người ít quen thao tác số, tôi muốn nhận diện việc cần hỏi khi mới thuê trọ, để không nhầm nhu cầu với thủ tục khác.","Là người ít quen thao tác số, tôi muốn nhận diện việc cần hỏi khi mới thuê trọ, để không nhầm nhu cầu với thủ tục khác. Bối cảnh hiện tại: mất mạng sau khi đã mở được phiếu, không thể kiểm tra phiên bản mới.","mất mạng sau khi đã mở được phiếu, không thể kiểm tra phiên bản mới",Người dùng bắt đầu hoặc tiếp tục nhu cầu trên LC Compass.,True,"Có thể xem lại phiếu, nhưng không thể xác minh tính mới khi mất mạng.",OFFLINE_VIEW,SERVICE,"Xem lại phiếu và ngày rà soát đã lưu tự nguyện; chờ có mạng để xác minh tiếp, không gửi gì.","câu ngắn, lựa chọn rõ, luôn có nút nhờ hỗ trợ",chỉ xem lại phiếu có mốc thời gian; không khẳng định vừa xác minh,"Thực hiện OFFLINE_VIEW; câu ngắn, lựa chọn rõ, luôn có nút nhờ hỗ trợ; chỉ xem lại phiếu có mốc thời gian; không khẳng định vừa xác minh.",Giả định cho thiết kế; chưa kiểm tra trên người thật hoặc AI thật.
LC-00019,cu_tru-01,cu_tru,P02,S09,low_literacy,ai_down,True,"Là người ít quen thao tác số, tôi muốn nhận diện việc cần hỏi khi mới thuê trọ, để không nhầm nhu cầu với thủ tục khác.","Là người ít quen thao tác số, tôi muốn nhận diện việc cần hỏi khi mới thuê trọ, để không nhầm nhu cầu với thủ tục khác. Bối cảnh hiện tại: dịch vụ AI hết hạn mức hoặc không phản hồi.",dịch vụ AI hết hạn mức hoặc không phản hồi,Người dùng bắt đầu hoặc tiếp tục nhu cầu trên LC Compass.,True,"Nhu cầu trong phạm vi, điều kiện mô hình đã rõ và nội dung mô hình đã duyệt.",PREPARE,SERVICE,"Tạo phiếu chuẩn bị theo nhánh đã duyệt; thể hiện điều đã biết, điều cần hỏi, nguồn và bước tiếp theo.","câu ngắn, lựa chọn rõ, luôn có nút nhờ hỗ trợ",luồng lựa chọn và phiếu đã duyệt vẫn phải dùng được,"Thực hiện PREPARE; câu ngắn, lựa chọn rõ, luôn có nút nhờ hỗ trợ; luồng lựa chọn và phiếu đã duyệt vẫn phải dùng được.",Giả định cho thiết kế; chưa kiểm tra trên người thật hoặc AI thật.
LC-00020,cu_tru-01,cu_tru,P02,S10,low_literacy,urgent,True,"Là người ít quen thao tác số, tôi muốn nhận diện việc cần hỏi khi mới thuê trọ, để không nhầm nhu cầu với thủ tục khác.","Là người ít quen thao tác số, tôi muốn nhận diện việc cần hỏi khi mới thuê trọ, để không nhầm nhu cầu với thủ tục khác. Bối cảnh hiện tại: đang có nguy cơ an toàn tức thời tại nơi ở hoặc nơi người dùng hiện diện.",đang có nguy cơ an toàn tức thời tại nơi ở hoặc nơi người dùng hiện diện,Người dùng bắt đầu hoặc tiếp tục nhu cầu trên LC Compass.,True,Nguy cơ tức thời được ưu tiên hơn hành trình thủ tục.,URGENT_HELP,SERVICE,Dừng hành trình thủ tục; ưu tiên liên hệ trợ giúp khẩn đã xác minh hoặc người hỗ trợ tại chỗ.,"câu ngắn, lựa chọn rõ, luôn có nút nhờ hỗ trợ","ưu tiên tìm trợ giúp khẩn phù hợp, không tiếp tục hỏi thủ tục","Thực hiện URGENT_HELP; câu ngắn, lựa chọn rõ, luôn có nút nhờ hỗ trợ; ưu tiên tìm trợ giúp khẩn phù hợp, không tiếp tục hỏi thủ tục.",Giả định cho thiết kế; chưa kiểm tra trên người thật hoặc AI thật.
LC-00021,cu_tru-01,cu_tru,P03,S01,no_device,clean,True,"Là người không có điện thoại thông minh, xem qua người hỗ trợ, tôi muốn nhận diện việc cần hỏi khi mới thuê trọ, để không nhầm nhu cầu với thủ tục khác.","Là người không có điện thoại thông minh, xem qua người hỗ trợ, tôi muốn nhận diện việc cần hỏi khi mới thuê trọ, để không nhầm nhu cầu với thủ tục khác. Bối cảnh hiện tại: thông tin tối thiểu đã rõ, nguồn và đầu mối trong mô hình đã được duyệt.","thông tin tối thiểu đã rõ, nguồn và đầu mối trong mô hình đã được duyệt",Người dùng bắt đầu hoặc tiếp tục nhu cầu trên LC Compass.,True,"Nhu cầu trong phạm vi, điều kiện mô hình đã rõ và nội dung mô hình đã duyệt.",PREPARE,SERVICE,"Tạo phiếu chuẩn bị theo nhánh đã duyệt; thể hiện điều đã biết, điều cần hỏi, nguồn và bước tiếp theo.",phiếu in hoặc xem cùng người hỗ trợ; không ép tạo tài khoản,không biến phiếu chuẩn bị thành kết luận đủ điều kiện,Thực hiện PREPARE; phiếu in hoặc xem cùng người hỗ trợ; không ép tạo tài khoản; không biến phiếu chuẩn bị thành kết luận đủ điều kiện.,Giả định cho thiết kế; chưa kiểm tra trên người thật hoặc AI thật.
LC-00022,cu_tru-01,cu_tru,P03,S02,no_device,unknown_area,True,"Là người không có điện thoại thông minh, xem qua người hỗ trợ, tôi muốn nhận diện việc cần hỏi khi mới thuê trọ, để không nhầm nhu cầu với thủ tục khác.","Là người không có điện thoại thông minh, xem qua người hỗ trợ, tôi muốn nhận diện việc cần hỏi khi mới thuê trọ, để không nhầm nhu cầu với thủ tục khác. Bối cảnh hiện tại: chỉ biết tên quận cũ, chưa xác định phường hiện tại.","chỉ biết tên quận cũ, chưa xác định phường hiện tại",Người dùng bắt đầu hoặc tiếp tục nhu cầu trên LC Compass.,True,Chưa xác định địa bàn thì không áp nội dung địa phương.,ASK_AREA,SERVICE,Hỏi lại phường hiện tại hoặc hỗ trợ xác minh địa bàn; chưa xuất checklist địa phương.,phiếu in hoặc xem cùng người hỗ trợ; không ép tạo tài khoản,không đoán địa giới từ tên đường hoặc tên quận cũ,Thực hiện ASK_AREA; phiếu in hoặc xem cùng người hỗ trợ; không ép tạo tài khoản; không đoán địa giới từ tên đường hoặc tên quận cũ.,Giả định cho thiết kế; chưa kiểm tra trên người thật hoặc AI thật.
LC-00023,cu_tru-01,cu_tru,P03,S03,no_device,outside,True,"Là người không có điện thoại thông minh, xem qua người hỗ trợ, tôi muốn nhận diện việc cần hỏi khi mới thuê trọ, để không nhầm nhu cầu với thủ tục khác.","Là người không có điện thoại thông minh, xem qua người hỗ trợ, tôi muốn nhận diện việc cần hỏi khi mới thuê trọ, để không nhầm nhu cầu với thủ tục khác. Bối cảnh hiện tại: xác nhận việc cần giải quyết ở ngoài phường Liên Chiểu.",xác nhận việc cần giải quyết ở ngoài phường Liên Chiểu,Người dùng bắt đầu hoặc tiếp tục nhu cầu trên LC Compass.,True,Phạm vi hướng dẫn phụ thuộc địa bàn được xác nhận.,OUTSIDE,SERVICE,Thông báo ngoài địa bàn; mở danh mục chính thức để người dùng chọn nơi phù hợp.,phiếu in hoặc xem cùng người hỗ trợ; không ép tạo tài khoản,không áp hướng dẫn địa phương sang nơi khác,Thực hiện OUTSIDE; phiếu in hoặc xem cùng người hỗ trợ; không ép tạo tài khoản; không áp hướng dẫn địa phương sang nơi khác.,Giả định cho thiết kế; chưa kiểm tra trên người thật hoặc AI thật.
LC-00024,cu_tru-01,cu_tru,P03,S04,no_device,stale,True,"Là người không có điện thoại thông minh, xem qua người hỗ trợ, tôi muốn nhận diện việc cần hỏi khi mới thuê trọ, để không nhầm nhu cầu với thủ tục khác.","Là người không có điện thoại thông minh, xem qua người hỗ trợ, tôi muốn nhận diện việc cần hỏi khi mới thuê trọ, để không nhầm nhu cầu với thủ tục khác. Bối cảnh hiện tại: nguồn hướng dẫn đã quá ngày rà soát quy định trong bộ dữ liệu.",nguồn hướng dẫn đã quá ngày rà soát quy định trong bộ dữ liệu,Người dùng bắt đầu hoặc tiếp tục nhu cầu trên LC Compass.,True,Nguồn không đạt điều kiện phát hành hướng dẫn chi tiết.,REVIEW_SOURCE,SERVICE,Tạm ngừng chi tiết bị ảnh hưởng; hiển thị nhu cầu cần xác minh và đầu mối đã xác nhận nếu có.,phiếu in hoặc xem cùng người hỗ trợ; không ép tạo tài khoản,không trình bày dữ liệu cũ như đang còn hiệu lực,Thực hiện REVIEW_SOURCE; phiếu in hoặc xem cùng người hỗ trợ; không ép tạo tài khoản; không trình bày dữ liệu cũ như đang còn hiệu lực.,Giả định cho thiết kế; chưa kiểm tra trên người thật hoặc AI thật.
