"card_id","id","claim","sourceId"
"place-thpt-nguyen-trai","thpt-nt-address","Địa chỉ Trường THPT Nguyễn Trãi tại số 01 đường Phan Văn Định, phường Liên Chiểu, TP. Đà Nẵng.","thpt-nguyen-trai"
"place-thcs-nguyen-luong-bang","thcs-nlb-address","Địa chỉ Trường THCS Nguyễn Lương Bằng tại số 27 đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng.","thcs-nguyen-luong-bang"
"place-trung-tam-thong-tin-hoc-lieu-bach-khoa","lic-address","Tòa nhà Trung tâm Thông tin - Học liệu tại 54 Nguyễn Lương Bằng, phường Liên Chiểu, Đà Nẵng.","thong-tin-hoc-lieu-bach-khoa"
"place-trung-tam-van-hoa-the-thao-cong-nhan","ttvh-cn-address","Trung tâm Văn hóa Thể thao Công nhân đặt tại Đường số 2, KCN Hòa Khánh, phường Liên Chiểu.","tt-vh-tt-cong-nhan"
"discover-di-tich-b1-hong-phuoc","b1-national-relic","Căn cứ lõm cách mạng B1 Hồng Phước được công nhận là Di tích lịch sử cấp quốc gia năm 2014.","di-tich-b1-hong-phuoc"
"discover-chuyen-ke-ngon-den-dau-hong-phuoc","lamp-signal-story","Ngọn đèn dầu đặt trước hiên nhà là tín hiệu quy ước báo tin bình an hoặc nguy hiểm của các cơ sở cách mạng tại căn cứ lõm B1 Hồng Phước.","huyen-thoai-ngon-den-dau"
"discover-dinh-lang-thanh-vinh","thanh-vinh-relic","Đình làng Thanh Vinh là nơi sinh hoạt văn hóa tín ngưỡng truyền thống của cư dân địa phương.","dinh-lang-thanh-vinh"
"discover-khong-gian-cong-nhan-kcn-hoa-khanh","kcn-culture-life","Khu công nghiệp Hòa Khánh quy tụ hơn 30.000 công nhân lao động từ nhiều tỉnh thành tạo nên đời sống sinh hoạt văn hóa cộng đồng đặc thù.","doi-song-cong-nhan-hoa-khanh"
"discover-san-pham-ocop-ngoc-oanh-food","ocop-ngoc-oanh-cert","Cơ sở thực phẩm Ngọc Oanh Food tại số 856/54 Tôn Đức Thắng đạt chứng nhận sản phẩm OCOP 3 sao.","ocop-ngoc-oanh-food"
"discover-tuyen-duong-thanh-nien-chuyen-doi-so","cds-street-project","Đoàn phường Liên Chiểu tổ chức gắn mã QR thông tin và hướng dẫn thanh toán số trên tuyến đường Nguyễn Lương Bằng.","tuyen-duong-cds-thanh-nien"
