"card_id","id","url","title","publisher","relevantExcerpt","sourceDate","fetchedAt"
"service-chuyen-truong-hoc-sinh","so-gddt-danang","https://danang.edu.vn","Hướng dẫn chuyển trường và tiếp nhận học sinh tại các trường phổ thông trên địa bàn TP. Đà Nẵng","Sở Giáo dục và Đào tạo TP. Đà Nẵng","Hồ sơ chuyển trường gồm đơn xin chuyển trường, học bạ bản chính, giấy chứng nhận trúng tuyển và giấy tờ xác nhận nơi cư trú","2024-08-15","2026-09-19T00:00:00+07:00"
"service-chuyen-truong-hoc-sinh","dvc-chuyen-truong","https://dichvucong.gov.vn","Thủ tục chuyển trường đối với học sinh trung học cơ sở và trung học phổ thông","Cổng Dịch vụ công Quốc gia","Hiệu trưởng trường nơi đến kiểm tra và tiếp nhận hồ sơ theo đúng phân tuyến và chỉ tiêu sĩ số","2024-01-01","2026-09-19T00:00:00+07:00"
"service-chuyen-truong-hoc-sinh","ward-2025","https://xaydungchinhsach.chinhphu.vn/toan-van-nghi-quyet-so-1659-nq-ubtvqh15-sap-xep-cac-dvhc-cap-xa-cua-thanh-pho-da-nang-nam-2025-119250616202714604.htm","Nghị quyết 1659: địa bàn phường Liên Chiểu","Báo điện tử Chính phủ","phường Hòa Khánh Bắc và phần còn lại của xã Hòa Liên","2025-06-20","2026-09-19T00:00:00+07:00"
"service-ho-tro-hoc-phi-da-nang","nq-hoc-phi-danang","https://danang.gov.vn/chinh-quyen/chi-tiet?id=56123&_c=3","Nghị quyết HĐND TP Đà Nẵng về chính sách hỗ trợ học phí đối với trẻ em mầm non và học sinh phổ thông","Cổng Thông tin điện tử TP. Đà Nẵng","Hỗ trợ 100% học phí công lập cho trẻ em mầm non và học sinh phổ thông trên địa bàn thành phố","2024-07-31","2026-09-19T00:00:00+07:00"
"service-ho-tro-hoc-phi-da-nang","ward-2025","https://xaydungchinhsach.chinhphu.vn/toan-van-nghi-quyet-so-1659-nq-ubtvqh15-sap-xep-cac-dvhc-cap-xa-cua-thanh-pho-da-nang-nam-2025-119250616202714604.htm","Nghị quyết 1659: địa bàn phường Liên Chiểu","Báo điện tử Chính phủ","phường Hòa Khánh Bắc và phần còn lại của xã Hòa Liên","2025-06-20","2026-09-19T00:00:00+07:00"
"service-tham-gia-bhyt-ho-gia-dinh","bhxh-danang-bhyt","https://danang.baohiemxahoi.gov.vn/tintuc/Pages/dich-vu-cong.aspx?ItemID=13840","Hướng dẫn tham gia Bảo hiểm y tế hộ gia đình tại Đà Nẵng","Bảo hiểm xã hội TP. Đà Nẵng","Mức đóng BHYT hộ gia đình được giảm dần từ người thứ hai trở đi; có thể nộp qua đại lý thu hoặc trực tuyến","2024-08-01","2026-09-19T00:00:00+07:00"
"service-tham-gia-bhyt-ho-gia-dinh","ward-2025","https://xaydungchinhsach.chinhphu.vn/toan-van-nghi-quyet-so-1659-nq-ubtvqh15-sap-xep-cac-dvhc-cap-xa-cua-thanh-pho-da-nang-nam-2025-119250616202714604.htm","Nghị quyết 1659: địa bàn phường Liên Chiểu","Báo điện tử Chính phủ","phường Hòa Khánh Bắc và phần còn lại của xã Hòa Liên","2025-06-20","2026-09-19T00:00:00+07:00"
"service-phan-loai-rac-tai-nguon","danang-phan-loai-rac","https://danang.gov.vn/chinh-quyen/chi-tiet?id=51294&_c=3","Kế hoạch thực hiện phân loại chất thải rắn sinh hoạt tại nguồn trên địa bàn TP Đà Nẵng","Cổng Thông tin điện tử TP. Đà Nẵng","Chất thải rắn sinh hoạt được phân chia thành chất thải tái chế, chất thải nguy hại và chất thải còn lại","2023-09-20","2026-09-19T00:00:00+07:00"
"service-phan-loai-rac-tai-nguon","ward-2025","https://xaydungchinhsach.chinhphu.vn/toan-van-nghi-quyet-so-1659-nq-ubtvqh15-sap-xep-cac-dvhc-cap-xa-cua-thanh-pho-da-nang-nam-2025-119250616202714604.htm","Nghị quyết 1659: địa bàn phường Liên Chiểu","Báo điện tử Chính phủ","phường Hòa Khánh Bắc và phần còn lại của xã Hòa Liên","2025-06-20","2026-09-19T00:00:00+07:00"
"place-trung-tam-hanh-chinh-lien-chieu","public-center-2025","https://thangan.danang.gov.vn/chi-tiet-tin/group/156/nid/18559/dia-chi-tru-so-va-trung-tam-phuc-vu-hanh-chinh-cong-94-don-vi-cap-xa-cua-tp-da-nang-moi","Địa chỉ trụ sở và trung tâm phục vụ hành chính công 94 đơn vị cấp xã","Trang thông tin điện tử xã Thăng An, TP. Đà Nẵng (đăng lại Báo Đà Nẵng)","Trung tâm Phục vụ hành chính công tại số 68 đường Lạc Long Quân, phường Liên Chiểu.","2025-07-14","2026-09-19T00:00:00+07:00"
"place-trung-tam-hanh-chinh-lien-chieu","ward-2025","https://xaydungchinhsach.chinhphu.vn/toan-van-nghi-quyet-so-1659-nq-ubtvqh15-sap-xep-cac-dvhc-cap-xa-cua-thanh-pho-da-nang-nam-2025-119250616202714604.htm","Nghị quyết 1659: địa bàn phường Liên Chiểu","Báo điện tử Chính phủ","phường Hòa Khánh Bắc và phần còn lại của xã Hòa Liên","2025-06-20","2026-09-19T00:00:00+07:00"
"place-cong-an-phuong-lien-chieu","cong-an-lien-chieu-2025","https://congan.danang.gov.vn/chi-tiet-tin?id=28491","Địa chỉ trụ sở Công an các phường sau sắp xếp đơn vị hành chính","Công an TP. Đà Nẵng","Công an phường Liên Chiểu đặt trụ sở tại số 66 đường Lạc Long Quân, phường Liên Chiểu","2025-07-20","2026-09-19T00:00:00+07:00"
"place-cong-an-phuong-lien-chieu","ward-2025","https://xaydungchinhsach.chinhphu.vn/toan-van-nghi-quyet-so-1659-nq-ubtvqh15-sap-xep-cac-dvhc-cap-xa-cua-thanh-pho-da-nang-nam-2025-119250616202714604.htm","Nghị quyết 1659: địa bàn phường Liên Chiểu","Báo điện tử Chính phủ","phường Hòa Khánh Bắc và phần còn lại của xã Hòa Liên","2025-06-20","2026-09-19T00:00:00+07:00"
"place-tram-y-te-lien-chieu","tram-y-te-lien-chieu","https://soytedanang.gov.vn/danh-ba-cac-tram-y-te-tuyen-xa-phuong","Danh bạ các trạm y tế tuyến xã phường TP Đà Nẵng","Sở Y tế TP. Đà Nẵng","Trạm Y tế phường Liên Chiểu tại số 178 đường Âu Cơ, phường Liên Chiểu","2025-08-10","2026-09-19T00:00:00+07:00"
"place-tram-y-te-lien-chieu","ward-2025","https://xaydungchinhsach.chinhphu.vn/toan-van-nghi-quyet-so-1659-nq-ubtvqh15-sap-xep-cac-dvhc-cap-xa-cua-thanh-pho-da-nang-nam-2025-119250616202714604.htm","Nghị quyết 1659: địa bàn phường Liên Chiểu","Báo điện tử Chính phủ","phường Hòa Khánh Bắc và phần còn lại của xã Hòa Liên","2025-06-20","2026-09-19T00:00:00+07:00"
"place-diem-ho-tro-so-cong-dong","to-cong-nghe-so-lien-chieu","https://thanhdoan.danang.gov.vn/hoat-dong-doan/thanh-nien-lien-chieu-ra-quan-to-cong-nghe-so-cong-dong","Thanh niên Liên Chiểu ra quân điểm hỗ trợ dịch vụ công số cộng đồng","Thành đoàn Đà Nẵng","Điểm hỗ trợ số công cộng đặt tại sảnh Bộ phận một cửa 68 Lạc Long Quân do thanh niên tình nguyện trực","2025-09-15","2026-09-19T00:00:00+07:00"
"place-diem-ho-tro-so-cong-dong","ward-2025","https://xaydungchinhsach.chinhphu.vn/toan-van-nghi-quyet-so-1659-nq-ubtvqh15-sap-xep-cac-dvhc-cap-xa-cua-thanh-pho-da-nang-nam-2025-119250616202714604.htm","Nghị quyết 1659: địa bàn phường Liên Chiểu","Báo điện tử Chính phủ","phường Hòa Khánh Bắc và phần còn lại của xã Hòa Liên","2025-06-20","2026-09-19T00:00:00+07:00"
"place-dai-hoc-bach-khoa-da-nang","dh-bach-khoa-danang","https://dut.udn.vn/Gioi-thieu/Thong-tin-chung","Thông tin chung và địa chỉ Trường Đại học Bách khoa – Đại học Đà Nẵng","Trường Đại học Bách khoa – ĐH Đà Nẵng","Trụ sở chính: số 54 đường Nguyễn Lương Bằng, phường Liên Chiểu, thành phố Đà Nẵng","2024-01-01","2026-09-19T00:00:00+07:00"
"place-dai-hoc-bach-khoa-da-nang","ward-2025","https://xaydungchinhsach.chinhphu.vn/toan-van-nghi-quyet-so-1659-nq-ubtvqh15-sap-xep-cac-dvhc-cap-xa-cua-thanh-pho-da-nang-nam-2025-119250616202714604.htm","Nghị quyết 1659: địa bàn phường Liên Chiểu","Báo điện tử Chính phủ","phường Hòa Khánh Bắc và phần còn lại của xã Hòa Liên","2025-06-20","2026-09-19T00:00:00+07:00"
"place-cao-dang-kinh-te-ke-hoach","cd-kinh-te-ke-hoach","https://cep.edu.vn/gioi-thieu/tong-quan-ve-truong.html","Giới thiệu tổng quan Trường Cao đẳng Kinh tế - Kế hoạch Đà Nẵng","Trường Cao đẳng Kinh tế - Kế hoạch Đà Nẵng","Địa chỉ: số 143 đường Nguyễn Lương Bằng, phường Liên Chiểu, thành phố Đà Nẵng","2024-02-15","2026-09-19T00:00:00+07:00"
"place-cao-dang-kinh-te-ke-hoach","ward-2025","https://xaydungchinhsach.chinhphu.vn/toan-van-nghi-quyet-so-1659-nq-ubtvqh15-sap-xep-cac-dvhc-cap-xa-cua-thanh-pho-da-nang-nam-2025-119250616202714604.htm","Nghị quyết 1659: địa bàn phường Liên Chiểu","Báo điện tử Chính phủ","phường Hòa Khánh Bắc và phần còn lại của xã Hòa Liên","2025-06-20","2026-09-19T00:00:00+07:00"
"place-thpt-nguyen-trai","thpt-nguyen-trai","https://thptnguyentrai.danang.edu.vn/gioi-thieu","Giới thiệu Trường THPT Nguyễn Trãi TP Đà Nẵng","Trường THPT Nguyễn Trãi","Địa chỉ trường: số 01 đường Phan Văn Định, phường Liên Chiểu, thành phố Đà Nẵng","2024-03-20","2026-09-19T00:00:00+07:00"
"place-thpt-nguyen-trai","ward-2025","https://xaydungchinhsach.chinhphu.vn/toan-van-nghi-quyet-so-1659-nq-ubtvqh15-sap-xep-cac-dvhc-cap-xa-cua-thanh-pho-da-nang-nam-2025-119250616202714604.htm","Nghị quyết 1659: địa bàn phường Liên Chiểu","Báo điện tử Chính phủ","phường Hòa Khánh Bắc và phần còn lại của xã Hòa Liên","2025-06-20","2026-09-19T00:00:00+07:00"
"place-thcs-nguyen-luong-bang","thcs-nguyen-luong-bang","https://thcsnguyenluongbang.danang.edu.vn/gioi-thieu","Giới thiệu Trường THCS Nguyễn Lương Bằng","Trường THCS Nguyễn Lương Bằng","Địa chỉ: số 27 đường Nguyễn Lương Bằng, phường Liên Chiểu, thành phố Đà Nẵng","2024-04-10","2026-09-19T00:00:00+07:00"
"place-thcs-nguyen-luong-bang","ward-2025","https://xaydungchinhsach.chinhphu.vn/toan-van-nghi-quyet-so-1659-nq-ubtvqh15-sap-xep-cac-dvhc-cap-xa-cua-thanh-pho-da-nang-nam-2025-119250616202714604.htm","Nghị quyết 1659: địa bàn phường Liên Chiểu","Báo điện tử Chính phủ","phường Hòa Khánh Bắc và phần còn lại của xã Hòa Liên","2025-06-20","2026-09-19T00:00:00+07:00"
"place-trung-tam-thong-tin-hoc-lieu-bach-khoa","thong-tin-hoc-lieu-bach-khoa","https://lic.dut.udn.vn/gioi-thieu-chung","Giới thiệu Trung tâm Thông tin - Học liệu Trường ĐH Bách khoa","Trung tâm Thông tin - Học liệu, ĐH Bách khoa ĐHĐN","Tòa nhà Trung tâm Thông tin - Học liệu tại 54 Nguyễn Lương Bằng, phường Liên Chiểu, Đà Nẵng","2024-05-15","2026-09-19T00:00:00+07:00"
"place-trung-tam-thong-tin-hoc-lieu-bach-khoa","ward-2025","https://xaydungchinhsach.chinhphu.vn/toan-van-nghi-quyet-so-1659-nq-ubtvqh15-sap-xep-cac-dvhc-cap-xa-cua-thanh-pho-da-nang-nam-2025-119250616202714604.htm","Nghị quyết 1659: địa bàn phường Liên Chiểu","Báo điện tử Chính phủ","phường Hòa Khánh Bắc và phần còn lại của xã Hòa Liên","2025-06-20","2026-09-19T00:00:00+07:00"
"place-trung-tam-van-hoa-the-thao-cong-nhan","tt-vh-tt-cong-nhan","https://congdoandanang.org.vn/thiet-che-cong-doan-kcn-hoa-khanh","Trung tâm Văn hóa Thể thao Công nhân KCN Hòa Khánh","Liên đoàn Lao động TP. Đà Nẵng","Trung tâm đặt tại Đường số 2, Khu công nghiệp Hòa Khánh, phường Liên Chiểu","2024-06-20","2026-09-19T00:00:00+07:00"
"place-trung-tam-van-hoa-the-thao-cong-nhan","ward-2025","https://xaydungchinhsach.chinhphu.vn/toan-van-nghi-quyet-so-1659-nq-ubtvqh15-sap-xep-cac-dvhc-cap-xa-cua-thanh-pho-da-nang-nam-2025-119250616202714604.htm","Nghị quyết 1659: địa bàn phường Liên Chiểu","Báo điện tử Chính phủ","phường Hòa Khánh Bắc và phần còn lại của xã Hòa Liên","2025-06-20","2026-09-19T00:00:00+07:00"
"discover-di-tich-b1-hong-phuoc","di-tich-b1-hong-phuoc","https://baodanang.vn/van-hoa-the-thao/202307/can-cu-lom-b1-hong-phuoc-dia-chi-do-giao-duc-truyen-thong-3950412/","Căn cứ lõm B1 Hồng Phước - Địa chỉ đỏ giáo dục truyền thống cách mạng","Báo Đà Nẵng","Căn cứ lõm cách mạng B1 Hồng Phước được xếp hạng Di tích lịch sử cấp quốc gia năm 2014","2023-07-25","2026-09-19T00:00:00+07:00"
"discover-di-tich-b1-hong-phuoc","ward-2025","https://xaydungchinhsach.chinhphu.vn/toan-van-nghi-quyet-so-1659-nq-ubtvqh15-sap-xep-cac-dvhc-cap-xa-cua-thanh-pho-da-nang-nam-2025-119250616202714604.htm","Nghị quyết 1659: địa bàn phường Liên Chiểu","Báo điện tử Chính phủ","phường Hòa Khánh Bắc và phần còn lại của xã Hòa Liên","2025-06-20","2026-09-19T00:00:00+07:00"
"discover-chuyen-ke-ngon-den-dau-hong-phuoc","huyen-thoai-ngon-den-dau","https://cadn.com.vn/ngon-den-dau-huyen-thoai-trong-long-can-cu-lom-b1-hong-phuoc-post281245.html","Ngọn đèn dầu huyền thoại trong lòng căn cứ lõm B1 Hồng Phước","Báo Công an TP. Đà Nẵng","Ngọn đèn dầu đặt trước hiên nhà là tín hiệu quy ước báo tin bình an hoặc nguy hiểm của mẹ Nhu và các cơ sở cách mạng","2023-08-18","2026-09-19T00:00:00+07:00"
"discover-chuyen-ke-ngon-den-dau-hong-phuoc","ward-2025","https://xaydungchinhsach.chinhphu.vn/toan-van-nghi-quyet-so-1659-nq-ubtvqh15-sap-xep-cac-dvhc-cap-xa-cua-thanh-pho-da-nang-nam-2025-119250616202714604.htm","Nghị quyết 1659: địa bàn phường Liên Chiểu","Báo điện tử Chính phủ","phường Hòa Khánh Bắc và phần còn lại của xã Hòa Liên","2025-06-20","2026-09-19T00:00:00+07:00"
"discover-dinh-lang-thanh-vinh","dinh-lang-thanh-vinh","https://baodanang.vn/van-hoa-the-thao/202209/bao-ton-cac-dinh-lang-co-o-lien-chieu-3924156/","Bảo tồn các đình làng cổ ở Liên Chiểu","Báo Đà Nẵng","Đình làng Thanh Vinh là nơi sinh hoạt văn hóa tín ngưỡng truyền thống của cư dân địa phương","2022-09-10","2026-09-19T00:00:00+07:00"
"discover-dinh-lang-thanh-vinh","ward-2025","https://xaydungchinhsach.chinhphu.vn/toan-van-nghi-quyet-so-1659-nq-ubtvqh15-sap-xep-cac-dvhc-cap-xa-cua-thanh-pho-da-nang-nam-2025-119250616202714604.htm","Nghị quyết 1659: địa bàn phường Liên Chiểu","Báo điện tử Chính phủ","phường Hòa Khánh Bắc và phần còn lại của xã Hòa Liên","2025-06-20","2026-09-19T00:00:00+07:00"
"discover-khong-gian-cong-nhan-kcn-hoa-khanh","doi-song-cong-nhan-hoa-khanh","https://laodong.vn/cong-doan/goc-van-hoa-va-doi-song-cong-nhan-kcn-hoa-khanh-da-nang-1245678.ldo","Góc văn hóa và đời sống công nhân KCN Hòa Khánh","Báo Lao Động","Khu công nghiệp Hòa Khánh quy tụ hơn 30.000 công nhân lao động từ nhiều tỉnh thành","2024-05-01","2026-09-19T00:00:00+07:00"
"discover-khong-gian-cong-nhan-kcn-hoa-khanh","ward-2025","https://xaydungchinhsach.chinhphu.vn/toan-van-nghi-quyet-so-1659-nq-ubtvqh15-sap-xep-cac-dvhc-cap-xa-cua-thanh-pho-da-nang-nam-2025-119250616202714604.htm","Nghị quyết 1659: địa bàn phường Liên Chiểu","Báo điện tử Chính phủ","phường Hòa Khánh Bắc và phần còn lại của xã Hòa Liên","2025-06-20","2026-09-19T00:00:00+07:00"
"discover-san-pham-ocop-ngoc-oanh-food","ocop-ngoc-oanh-food","https://socongthuong.danang.gov.vn/san-pham-ocop-da-nang-ngu-coc-granola-ngoc-oanh","Công nhận sản phẩm OCOP TP Đà Nẵng: Sản phẩm Ngũ cốc Granola Ngọc Oanh","Sở Công Thương TP. Đà Nẵng","Cơ sở thực phẩm Ngọc Oanh Food tại số 856/54 Tôn Đức Thắng đạt chứng nhận sản phẩm OCOP 3 sao","2023-11-20","2026-09-19T00:00:00+07:00"
"discover-san-pham-ocop-ngoc-oanh-food","ward-2025","https://xaydungchinhsach.chinhphu.vn/toan-van-nghi-quyet-so-1659-nq-ubtvqh15-sap-xep-cac-dvhc-cap-xa-cua-thanh-pho-da-nang-nam-2025-119250616202714604.htm","Nghị quyết 1659: địa bàn phường Liên Chiểu","Báo điện tử Chính phủ","phường Hòa Khánh Bắc và phần còn lại của xã Hòa Liên","2025-06-20","2026-09-19T00:00:00+07:00"
"discover-tuyen-duong-thanh-nien-chuyen-doi-so","tuyen-duong-cds-thanh-nien","https://thanhdoan.danang.gov.vn/tin-tuc-su-kien/mo-hinh-tuyen-duong-thanh-nien-chuyen-doi-so-lien-chieu","Mô hình Tuyến đường thanh niên chuyển đổi số văn minh tại Liên Chiểu","Thành đoàn Đà Nẵng","Đoàn phường Liên Chiểu tổ chức gắn mã QR thông tin và hướng dẫn thanh toán số trên tuyến đường Nguyễn Lương Bằng","2025-03-26","2026-09-19T00:00:00+07:00"
"discover-tuyen-duong-thanh-nien-chuyen-doi-so","ward-2025","https://xaydungchinhsach.chinhphu.vn/toan-van-nghi-quyet-so-1659-nq-ubtvqh15-sap-xep-cac-dvhc-cap-xa-cua-thanh-pho-da-nang-nam-2025-119250616202714604.htm","Nghị quyết 1659: địa bàn phường Liên Chiểu","Báo điện tử Chính phủ","phường Hòa Khánh Bắc và phần còn lại của xã Hòa Liên","2025-06-20","2026-09-19T00:00:00+07:00"
