"id","name","category","categoryLabel","address","street","ward","source","verificationMethod","coordinates.lat","coordinates.lng","notes"
"osm-729406502","Ca Phe Phuong Nam","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.05352","108.16939",""
"osm-729406508","Cafe Manila","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.06864","108.15044",""
"osm-729406510","CaPhe Vao Ha","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.08967","108.14713",""
"osm-729406511","TinaCoffee","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.07194","108.17889",""
"osm-729406512","BaoNgoc Coffee","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.09938","108.13564",""
"osm-729406518","Ca Phe Ly Thong","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.05152","108.17003",""
"osm-729406520","Ca Phe Phuong Linh","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.05671","108.17792",""
"osm-729406524","Cafe Thien Thanh","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.11132","108.1296",""
"osm-729406526","CafeTri","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.06654","108.15073",""
"osm-729406528","Ca Phe Thanh Tuan","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.05168","108.16998",""
"osm-729406535","KimChi Coffee","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.08661","108.14412",""
"osm-729406536","Cafe Matrix","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.06891","108.15113",""
"osm-729406543","CaPhe Luna","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.06431","108.1748",""
"osm-729406556","Ca Phe Thanh Thanh","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.05828","108.17742",""
"osm-729406560","LongCoffee","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.11099","108.12974",""
"osm-729406574","PhuongCoffee","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.11395","108.12779",""
"osm-729406577","Ca Phe Huong Xuan","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.05695","108.1674",""
"osm-729406583","CafeThuy Duong","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.07107","108.14889",""
"osm-729406585","LyLy Coffee","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.08466","108.14529",""
"osm-729406592","Cafe Giai Khat Loc Vung","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.07107","108.14336",""
"osm-729406597","CaPhe Anh Tien","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.06445","108.15225",""
"osm-729406598","UyenPhuong Coffee","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.10688","108.13207",""
"osm-729406602","Cafe Thanh Thuy","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.06265","108.15719",""
"osm-729406603","HuongDuong Coffee","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.11451","108.12726",""
"osm-729406604","HongDuy Coffee","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.08278","108.14602",""
"osm-729406606","Cafe Mat Trang Xanh","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.06281","108.15676",""
"osm-729406608","Ca Phe Huong Ngoc Lan","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.05627","108.166",""
"osm-729406610","Ca Phe 54","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.07012","108.15051",""
"osm-729406611","Cafe Kieu Diem","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.07056","108.14793",""
"osm-729406616","CaPhe Diem Hen","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.06362","108.15469",""
"osm-729406621","CaPhe Kim Trung","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.06307","108.16023",""
"osm-729406627","HongCoffee","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.07189","108.17897",""
"osm-729406629","Ca Phe Quynh Huong","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.06324","108.16685",""
"osm-729406632","Ca Phe Trau Cau","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.07118","108.15507",""
"osm-729406634","CaPhe Nguyen Thao","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.0873","108.14442",""
"osm-729406635","PhucDuyen Coffee","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.11153","108.12952",""
"osm-729406641","CaPhe Anh Hong","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.06536","108.14961",""
"osm-729406643","Ca Phe Legend","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.05162","108.16999",""
"osm-729406645","Internet424 Coffee","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.07643","108.14864",""
"osm-729406651","Coffee New Sky","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.06823","108.14943",""
"osm-729406666","BinBin Coffee","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.11111","108.12969",""
"osm-729406671","CaPhe Nhu Phuong","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.07176","108.15639",""
"osm-729406674","Cafe Thuan Tinh","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.0718","108.14024",""
"osm-729406675","Ca Phe Sari","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.07172","108.15629",""
"osm-729406678","HuongHoa Coffee","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.05997","108.17937",""
"osm-729406679","CaPhe Nhu Mai","food","Ẩm thực & Đời sống","24 BÙI CHÁT, phường Liên Chiểu, TP. Đà Nẵng","Bùi Chát","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.08535","108.14337",""
"osm-729406692","CafeBa Map","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.06126","108.17839",""
"osm-729406700","HongTrang Coffee","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.08285","108.1458",""
"osm-729406707","BambooCoffee","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.07351","108.14948",""
"osm-729406711","CaPhe Trang Le","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.09043","108.14786",""
"osm-729406712","CafeViolet","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.06536","108.15479",""
"osm-729406713","MaiTrang Coffee","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.10681","108.1321",""
"osm-729406717","CaPhe A. Ly","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.06276","108.1577",""
"osm-729406718","AnhThu Coffee","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.11195","108.12933",""
"osm-729406722","CafeThao Vy","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.06329","108.15801",""
"osm-729406723","CaPhe Uyen Phuong","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.09","108.14746",""
"osm-729406727","NgocLan Coffee","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.07075","108.14954",""
"osm-729406728","HoangViet Coffee","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.11141","108.12957",""
"osm-729406729","NewStar Coffee","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.08133","108.1467",""
"osm-729406738","Ca Phe San Vuon Da Thien Ly","food","Ẩm thực & Đời sống","126 Đường Tôn Đản, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.05492","108.17859",""
"osm-729406740","Ca Phe U I","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.06259","108.15756",""
"osm-729406743","QueenBell Coffee","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.1117","108.12945",""
"osm-729406745","CafeMai La","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.0609","108.16145",""
"osm-729406748","Ca Phe Anh Thu","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.07084","108.1544",""
"osm-729406754","Ca Phe Thanh Tam","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.06406","108.16671",""
"osm-729406757","Cafe Phuong","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.06494","108.15032",""
"osm-729406761","HuongCau Coffee","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.11166","108.12946",""
"osm-729406767","Cafe Hen","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.06629","108.14906",""
"osm-729406774","CaPhe May Trang","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.06634","108.17443",""
"osm-729406787","CaPhe Win","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.06487","108.15102",""
"osm-729406799","CaPhe My My","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.05943","108.16477",""
"osm-729406806","AnhDuong Coffee","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.07439","108.14948",""
"osm-729406809","CafeThu Nguyen","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.05684","108.16757",""
"osm-729406816","LangVan Coffee","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.07483","108.1493",""
"osm-729406824","Cafe Ca Phe Asenal","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.07302","108.14966",""
"osm-729406829","CafeBao Bao","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.06474","108.15632",""
"osm-729406835","Ca Phe A. Hieu","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.05638","108.17804",""
"osm-729406837","WinMart+","market","Chợ & Mua sắm thiết yếu","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.07462","108.14938",""
"osm-729406839","Ca Phe Bay Cha","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.05725","108.16864",""
"osm-729406841","CaPhe An Huy","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.07157","108.17926",""
"osm-729406844","TuyetAnh Coffee","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.07075","108.14955",""
"osm-729406845","NgocVy Coffee","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.11342","108.12803",""
"osm-729406854","CaPhe San Vuon Bin Bin","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.06301","108.16026",""
